mode,size_bytes,size_kb,N,avg_total_ns,ns_per_iter
random,133120,130,33280,979742.8571,29.4394
random_index,133120,130,33280,22471.4286,0.6752
sequential,134144,131,33536,2600.0000,0.0775
random,134144,131,33536,990185.7143,29.5261
random_index,134144,131,33536,19714.2857,0.5879
sequential,135168,132,33792,2614.2857,0.0774
random,135168,132,33792,988785.7143,29.2609
random_index,135168,132,33792,18485.7143,0.5470
sequential,136192,133,34048,2614.2857,0.0768
random,136192,133,34048,1016057.1429,29.8419
random_index,136192,133,34048,17157.1429,0.5039
sequential,137216,134,34304,3614.2857,0.1054
random,137216,134,34304,1086385.7143,31.6694
random_index,137216,134,34304,15714.2857,0.4581
sequential,138240,135,34560,2857.1429,0.0827
random,138240,135,34560,1020714.2857,29.5346
random_index,138240,135,34560,15814.2857,0.4576
sequential,139264,136,34816,2685.7143,0.0771
random,139264,136,34816,1062100.0000,30.5061
random_index,139264,136,34816,17957.1429,0.5158
sequential,140288,137,35072,4071.4286,0.1161
random,140288,137,35072,1520057.1429,43.3410
random_index,140288,137,35072,16600.0000,0.4733
sequential,141312,138,35328,5357.1429,0.1516
random,141312,138,35328,1343528.5714,38.0301
random_index,141312,138,35328,23142.8571,0.6551
sequential,142336,139,35584,2742.8571,0.0771
random,142336,139,35584,1071414.2857,30.1094
random_index,142336,139,35584,19528.5714,0.5488
sequential,143360,140,35840,3142.8571,0.0877
random,143360,140,35840,1143971.4286,31.9188
random_index,143360,140,35840,18928.5714,0.5281
sequential,144384,141,36096,3128.5714,0.0867
random,144384,141,36096,1153728.5714,31.9628
random_index,144384,141,36096,17685.7143,0.4900
sequential,145408,142,36352,3771.4286,0.1037
random,145408,142,36352,1089157.1429,29.9614
random_index,145408,142,36352,17400.0000,0.4787
sequential,146432,143,36608,3785.7143,0.1034
random,146432,143,36608,1128228.5714,30.8192
random_index,146432,143,36608,19928.5714,0.5444
sequential,147456,144,36864,2885.7143,0.0783
random,147456,144,36864,1226271.4286,33.2647
random_index,147456,144,36864,20357.1429,0.5522
sequential,148480,145,37120,3128.5714,0.0843
random,148480,145,37120,1086928.5714,29.2815
random_index,148480,145,37120,33457.1429,0.9013
sequential,149504,146,37376,2928.5714,0.0784
random,149504,146,37376,1104571.4286,29.5530
random_index,149504,146,37376,20600.0000,0.5512
sequential,150528,147,37632,4942.8571,0.1313
random,150528,147,37632,1303928.5714,34.6495
random_index,150528,147,37632,24328.5714,0.6465
sequential,151552,148,37888,4371.4286,0.1154
random,151552,148,37888,1152014.2857,30.4058
random_index,151552,148,37888,25071.4286,0.6617
sequential,152576,149,38144,3171.4286,0.0831
random,152576,149,38144,1146357.1429,30.0534
random_index,152576,149,38144,21071.4286,0.5524
sequential,153600,150,38400,3528.5714,0.0919
random,153600,150,38400,1167685.7143,30.4085
random_index,153600,150,38400,21214.2857,0.5525
sequential,154624,151,38656,3271.4286,0.0846
random,154624,151,38656,1156628.5714,29.9211
random_index,154624,151,38656,21400.0000,0.5536
sequential,155648,152,38912,4328.5714,0.1112
random,155648,152,38912,1229114.2857,31.5870
random_index,155648,152,38912,20428.5714,0.5250
sequential,156672,153,39168,4171.4286,0.1065
random,156672,153,39168,1192185.7143,30.4377
random_index,156672,153,39168,21000.0000,0.5362
sequential,157696,154,39424,4614.2857,0.1170
random,157696,154,39424,1465157.1429,37.1641
random_index,157696,154,39424,19028.5714,0.4827
sequential,158720,155,39680,5371.4286,0.1354
random,158720,155,39680,1197771.4286,30.1858
random_index,158720,155,39680,22114.2857,0.5573
sequential,159744,156,39936,3442.8571,0.0862
random,159744,156,39936,1278542.8571,32.0148
random_index,159744,156,39936,24014.2857,0.6013
sequential,160768,157,40192,3871.4286,0.0963
random,160768,157,40192,1268542.8571,31.5621
random_index,160768,157,40192,33300.0000,0.8285
sequential,161792,158,40448,5171.4286,0.1279
random,161792,158,40448,2394985.7143,59.2115
random_index,161792,158,40448,92471.4286,2.2862
sequential,162816,159,40704,5100.0000,0.1253
random,162816,159,40704,2393442.8571,58.8012
random_index,162816,159,40704,25942.8571,0.6374
sequential,163840,160,40960,5371.4286,0.1311
random,163840,160,40960,1944485.7143,47.4728
random_index,163840,160,40960,45914.2857,1.1210
sequential,164864,161,41216,5085.7143,0.1234
random,164864,161,41216,1951685.7143,47.3526
random_index,164864,161,41216,282985.7143,6.8659
sequential,165888,162,41472,8900.0000,0.2146
random,165888,162,41472,1649171.4286,39.7659
random_index,165888,162,41472,41000.0000,0.9886
sequential,166912,163,41728,6300.0000,0.1510
random,166912,163,41728,2439171.4286,58.4541
random_index,166912,163,41728,32285.7143,0.7737
sequential,167936,164,41984,6857.1429,0.1633
random,167936,164,41984,2394200.0000,57.0265
random_index,167936,164,41984,80785.7143,1.9242
sequential,168960,165,42240,7214.2857,0.1708
random,168960,165,42240,2669842.8571,63.2065
random_index,168960,165,42240,28228.5714,0.6683
sequential,169984,166,42496,101742.8571,2.3942
random,169984,166,42496,1747228.5714,41.1151
random_index,169984,166,42496,39600.0000,0.9319
sequential,171008,167,42752,4942.8571,0.1156
random,171008,167,42752,2112457.1429,49.4119
random_index,171008,167,42752,37100.0000,0.8678
sequential,172032,168,43008,5628.5714,0.1309
random,172032,168,43008,3286728.5714,76.4213
random_index,172032,168,43008,29085.7143,0.6763
sequential,173056,169,43264,5200.0000,0.1202
random,173056,169,43264,1767328.5714,40.8499
random_index,173056,169,43264,26028.5714,0.6016
sequential,174080,170,43520,6114.2857,0.1405
random,174080,170,43520,2513985.7143,57.7662
random_index,174080,170,43520,48971.4286,1.1253
sequential,175104,171,43776,6014.2857,0.1374
random,175104,171,43776,2325557.1429,53.1240
random_index,175104,171,43776,39628.5714,0.9053
sequential,176128,172,44032,4085.7143,0.0928
random,176128,172,44032,1646385.7143,37.3907
random_index,176128,172,44032,28742.8571,0.6528
sequential,177152,173,44288,5857.1429,0.1323
random,177152,173,44288,1555357.1429,35.1192
random_index,177152,173,44288,28828.5714,0.6509
sequential,178176,174,44544,4171.4286,0.0936
random,178176,174,44544,1514942.8571,34.0100
random_index,178176,174,44544,24157.1429,0.5423
sequential,179200,175,44800,3842.8571,0.0858
random,179200,175,44800,1517600.0000,33.8750
random_index,179200,175,44800,31885.7143,0.7117
sequential,180224,176,45056,6185.7143,0.1373
random,180224,176,45056,2594114.2857,57.5753
random_index,180224,176,45056,32857.1429,0.7293
sequential,181248,177,45312,15928.5714,0.3515
random,181248,177,45312,2117700.0000,46.7360
random_index,181248,177,45312,32100.0000,0.7084
sequential,182272,178,45568,5728.5714,0.1257
random,182272,178,45568,2181171.4286,47.8663
random_index,182272,178,45568,26571.4286,0.5831
sequential,183296,179,45824,5428.5714,0.1185
random,183296,179,45824,1757614.2857,38.3558
random_index,183296,179,45824,39900.0000,0.8707
sequential,184320,180,46080,5214.2857,0.1132
random,184320,180,46080,1541614.2857,33.4552
random_index,184320,180,46080,27228.5714,0.5909
sequential,185344,181,46336,3642.8571,0.0786
random,185344,181,46336,1521157.1429,32.8288
random_index,185344,181,46336,34185.7143,0.7378
sequential,186368,182,46592,3942.8571,0.0846
random,186368,182,46592,1776128.5714,38.1209
random_index,186368,182,46592,28957.1429,0.6215
sequential,187392,183,46848,5657.1429,0.1208
random,187392,183,46848,1557514.2857,33.2461
random_index,187392,183,46848,86085.7143,1.8376
sequential,188416,184,47104,6428.5714,0.1365
random,188416,184,47104,1498485.7143,31.8123
random_index,188416,184,47104,31171.4286,0.6618
sequential,189440,185,47360,6200.0000,0.1309
random,189440,185,47360,1449900.0000,30.6144
random_index,189440,185,47360,28771.4286,0.6075
sequential,190464,186,47616,4128.5714,0.0867
random,190464,186,47616,1542285.7143,32.3901
random_index,190464,186,47616,30857.1429,0.6480
sequential,191488,187,47872,5357.1429,0.1119
random,191488,187,47872,1984671.4286,41.4579
random_index,191488,187,47872,26785.7143,0.5595
sequential,192512,188,48128,4114.2857,0.0855
random,192512,188,48128,1610128.5714,33.4551
random_index,192512,188,48128,70957.1429,1.4743
sequential,193536,189,48384,17000.0000,0.3514
random,193536,189,48384,1612771.4286,33.3327
random_index,193536,189,48384,26557.1429,0.5489
sequential,194560,190,48640,6900.0000,0.1419
random,194560,190,48640,1896642.8571,38.9935
random_index,194560,190,48640,30757.1429,0.6323
sequential,195584,191,48896,4042.8571,0.0827
random,195584,191,48896,1912214.2857,39.1078
random_index,195584,191,48896,53828.5714,1.1009
sequential,196608,192,49152,4585.7143,0.0933
random,196608,192,49152,1982442.8571,40.3329
random_index,196608,192,49152,39200.0000,0.7975
sequential,197632,193,49408,5957.1429,0.1206
random,197632,193,49408,1651428.5714,33.4243
random_index,197632,193,49408,90314.2857,1.8279
sequential,198656,194,49664,6585.7143,0.1326
random,198656,194,49664,2203271.4286,44.3636
random_index,198656,194,49664,49400.0000,0.9947
sequential,199680,195,49920,7871.4286,0.1577
random,199680,195,49920,3300485.7143,66.1155
random_index,199680,195,49920,80014.2857,1.6029
sequential,200704,196,50176,6528.5714,0.1301
random,200704,196,50176,2459114.2857,49.0098
random_index,200704,196,50176,44728.5714,0.8914
sequential,201728,197,50432,6200.0000,0.1229
random,201728,197,50432,3330357.1429,66.0366
random_index,201728,197,50432,37100.0000,0.7356
sequential,202752,198,50688,6300.0000,0.1243
random,202752,198,50688,2903928.5714,57.2903
random_index,202752,198,50688,34100.0000,0.6727
sequential,203776,199,50944,7014.2857,0.1377
random,203776,199,50944,4252528.5714,83.4746
random_index,203776,199,50944,55785.7143,1.0950
sequential,204800,200,51200,6042.8571,0.1180
random,204800,200,51200,4021728.5714,78.5494
random_index,204800,200,51200,61528.5714,1.2017
sequential,205824,201,51456,7471.4286,0.1452
random,205824,201,51456,2314000.0000,44.9705
random_index,205824,201,51456,45000.0000,0.8745
sequential,206848,202,51712,6442.8571,0.1246
random,206848,202,51712,3089757.1429,59.7493
random_index,206848,202,51712,33914.2857,0.6558
sequential,207872,203,51968,5971.4286,0.1149
random,207872,203,51968,2862200.0000,55.0762
random_index,207872,203,51968,430414.2857,8.2823
sequential,208896,204,52224,12257.1429,0.2347
random,208896,204,52224,1998014.2857,38.2585
random_index,208896,204,52224,49757.1429,0.9528
sequential,209920,205,52480,6000.0000,0.1143
random,209920,205,52480,2202171.4286,41.9621
random_index,209920,205,52480,47728.5714,0.9095
sequential,210944,206,52736,6771.4286,0.1284
random,210944,206,52736,1979500.0000,37.5360
random_index,210944,206,52736,32042.8571,0.6076
