mode,size_bytes,size_kb,size_mb,elements,total_ns,ns_per_iter
random_index,117760,115.000000,0.112305,29440,27300,0.927310
sequential,118784,116.000000,0.113281,29696,17100,0.575835
random,118784,116.000000,0.113281,29696,1026900,34.580415
random_index,118784,116.000000,0.113281,29696,42800,1.441272
sequential,119808,117.000000,0.114258,29952,17300,0.577591
random,119808,117.000000,0.114258,29952,1023800,34.181357
random_index,119808,117.000000,0.114258,29952,27300,0.911458
sequential,120832,118.000000,0.115234,30208,17400,0.576006
random,120832,118.000000,0.115234,30208,1032200,34.169756
random_index,120832,118.000000,0.115234,30208,28400,0.940148
sequential,121856,119.000000,0.116211,30464,27900,0.915835
random,121856,119.000000,0.116211,30464,1041900,34.201024
random_index,121856,119.000000,0.116211,30464,43600,1.431197
sequential,122880,120.000000,0.117188,30720,17700,0.576172
random,122880,120.000000,0.117188,30720,1051300,34.222005
random_index,122880,120.000000,0.117188,30720,29300,0.953776
sequential,123904,121.000000,0.118164,30976,17900,0.577867
random,123904,121.000000,0.118164,30976,1061100,34.255553
random_index,123904,121.000000,0.118164,30976,38900,1.255811
sequential,124928,122.000000,0.119141,31232,18000,0.576332
random,124928,122.000000,0.119141,31232,1067300,34.173284
random_index,124928,122.000000,0.119141,31232,27300,0.874103
sequential,125952,123.000000,0.120117,31488,18200,0.577998
random,125952,123.000000,0.120117,31488,1076200,34.178100
random_index,125952,123.000000,0.120117,31488,31400,0.997205
sequential,126976,124.000000,0.121094,31744,33300,1.049017
random,126976,124.000000,0.121094,31744,1114800,35.118448
random_index,126976,124.000000,0.121094,31744,50000,1.575101
sequential,128000,125.000000,0.122070,32000,30200,0.943750
random,128000,125.000000,0.122070,32000,1124900,35.153125
random_index,128000,125.000000,0.122070,32000,41600,1.300000
sequential,129024,126.000000,0.123047,32256,31600,0.979663
random,129024,126.000000,0.123047,32256,1106700,34.309896
random_index,129024,126.000000,0.123047,32256,36400,1.128472
sequential,130048,127.000000,0.124023,32512,37600,1.156496
random,130048,127.000000,0.124023,32512,1116300,34.335015
random_index,130048,127.000000,0.124023,32512,40400,1.242618
sequential,131072,128.000000,0.125000,32768,31000,0.946045
random,131072,128.000000,0.125000,32768,1122300,34.249878
random_index,131072,128.000000,0.125000,32768,28000,0.854492
sequential,132096,129.000000,0.125977,33024,19100,0.578367
random,132096,129.000000,0.125977,33024,1122200,33.981347
random_index,132096,129.000000,0.125977,33024,28400,0.859981
sequential,133120,130.000000,0.126953,33280,19200,0.576923
random,133120,130.000000,0.126953,33280,1130900,33.981370
random_index,133120,130.000000,0.126953,33280,36400,1.093750
sequential,134144,131.000000,0.127930,33536,19400,0.578483
random,134144,131.000000,0.127930,33536,1141600,34.041031
random_index,134144,131.000000,0.127930,33536,33100,0.986999
sequential,135168,132.000000,0.128906,33792,19500,0.577060
random,135168,132.000000,0.128906,33792,1161200,34.363163
random_index,135168,132.000000,0.128906,33792,43800,1.296165
sequential,136192,133.000000,0.129883,34048,36400,1.069079
random,136192,133.000000,0.129883,34048,1166100,34.248708
random_index,136192,133.000000,0.129883,34048,44800,1.315789
sequential,137216,134.000000,0.130859,34304,37400,1.090252
random,137216,134.000000,0.130859,34304,1175600,34.270056
random_index,137216,134.000000,0.130859,34304,35600,1.037780
sequential,138240,135.000000,0.131836,34560,38100,1.102431
random,138240,135.000000,0.131836,34560,1186900,34.343171
random_index,138240,135.000000,0.131836,34560,53800,1.556713
sequential,139264,136.000000,0.132812,34816,32800,0.942096
random,139264,136.000000,0.132812,34816,1197200,34.386489
random_index,139264,136.000000,0.132812,34816,72500,2.082376
sequential,140288,137.000000,0.133789,35072,20200,0.575958
random,140288,137.000000,0.133789,35072,1193100,34.018590
random_index,140288,137.000000,0.133789,35072,38800,1.106296
sequential,141312,138.000000,0.134766,35328,20400,0.577446
random,141312,138.000000,0.134766,35328,1202800,34.046649
random_index,141312,138.000000,0.134766,35328,45600,1.290761
